,Title,platform,release_date,summary,meta_score,user_review
188,Star Wars Republic Commando,Xbox,2005-02-28,You can be part of an elite squad of soldiers in Star Wars Republic Commando. Play as one of a team of republic troops in the time between Star Wars episodes II and III. Your squad will be assigned a variety of missions ranging from hostage rescue to assassination on many recognizable worlds from the Star Wars universe. You can play multiplayer game modes such as capture the flag and deathmatch online.,78,8.6
189,3D Classics: Kirby's Adventure,3DS,2011-11-17,"Delve into the land of dreams-turned-nightmares as Kirby flies with the stars in 3D. 3D Classics: Kirby's Adventure offers you a chance to explore the world of Dream Land in a whole new way. The landscape comes to life as Kirby crosses land, sea, and sky in his quest to restore the Star Rod. After waking from a dreamless sleep, Kirby goes to investigate the Dream Spring only to find that its source of energy has been stolen by King Dedede. Broken and divided across seven worlds, Kirby will need to use his unique ability to steal enemies' powers as he battles and to restore the pieces of the Star Rod. Without it, how can a hero fight another day if he can't get a good night's sleep? Embark on this adventure as the beloved pink character tries to save the citizens of Dream Land from a lifetime of terrible nightmares.",77,8.0
190,Super Mario Advance 4: Super Mario Bros. 3,Game Boy Advance,2003-10-21,"A combination of exciting platforming action, wild power-ups, and charming Mario style has made Super Mario Bros. 3 a classic. With Super Mario Advance 4: Super Mario Bros. 3, you have your chance to partake in the special adventure anywhere you go on your Game Boy Advance. Your mission is to rescue the Mushroom Kingdom monarchs who have been transformed into animals by Bowser and his mischievous offspring, and in the process save the princess kidnapped by Bowser. Traverse eight huge worlds and encounter fun minigames and frantic boss battles as you explore the first Mario game to use an overworld map.",94,8.9
191,Sensible World of Soccer,Xbox 360,2007-12-19,"[Xbox Live Arcade] Sensible World of Soccer is the classic nineties soccer game reborn with enhanced graphics. Play against your friends online in this fantastic pick up and play soccer extravaganza. Experience all the excitement of a full season or enter into a quick game against your friends. Want to be more hands-on? Manage your team over a full season with a fully immersive tactics editor to put yourself in control on the way to the title. Online play: Take on your friends online in this fun, fast-paced soccer game. Updated for Xbox LIVE Arcade: Play a fully updated Arcade version of this classic game. Classic and Enhanced modes: Play online with the graphics you remember, or with the new enhanced HD visuals. Retro experience: Utilizing the original '96/'97 code, widely recognized to be the best incarnation of the SWOS series, we are able to deliver an authentic, retro playing experience. [Codemasters]",81,7.4
192,Astro Duel Deluxe,Switch,2017-05-30,"Battle your friends in space! (Then run over their pilots!) Astro Duel Deluxe includes new features and gameplay created for the Nintendo Switch! ASTRO DUEL DELUXE is a fun, frenetic same-screen local multiplayer party game for 1 to 6 players! Game rounds are quick and defeat is sudden as you blast enemy ships, or run over your friends' shipless pilots. (Hilarity ahead!) FEATURES -Play anywhere On the TV, on the go, or even face up on a table or floor! -Play with multiple controller types (including touch screen) -Wipe out your friends' squad in ""Team Annihilation"" mode -6-player ""Chaos"" mode (More open arenas support Free-For-All and 3v3) -Pilot Selection Pick from 6 pilots to control, including Box Cat and Chomper -Instant Replay after completing each round -Additional music -Wacky ""Touch"" mode Ships can only turn in one direction! -Battle your friends or team up to take on CPU opponents -Run over pilots in ""Pilot Hunters"" mode, battle for the most kills in ""Ship Hunters,"" or join forces in ""Team Deathmatch"" -Arm your ship with offensive and defensive powerups including missiles, lasers, jousters and shields -Dynamic arenas provide a host of hiding places and hazards Avoid turrets, death beams, and black holes -Mix up play with Game Modifiers (enable asteroids, starting power-ups, super dashes, and so much more)",59,6.6
193,Dead or Alive Xtreme Beach Volleyball,Xbox,2003-01-22,"The girls of Dead or Alive are back and better than ever in Dead or Alive Xtreme Beach Volleyball. But this time around the girls are throwing on their bikinis to go head-to-head in outrageous games of beach volleyball. It's time to get up close with the ladies as they set and spike their way to the championship title on the tropical beach resort, Zack Island. The points you receive on the court enable you to customize your characters with over 100 swimsuits and accessories. At night, Zack Island becomes a haven for nightlife activities including an island casino and a radio station with all your favorite sand and surf tunes.",73,7.9
194,Assassin's Creed IV: Black Flag,PlayStation 3,2013-10-29,"The year is 1715. Pirates rule the waters of the Caribbean and have established a lawless Republic. Among these outlaws is a lethal young captain named Edward Kenway. His notorious exploits earn the respect of legends like Blackbeard, but draw him into an ancient war that may destroy everything the pirates have built for themselves.",88,8.2
195,Assassin's Creed IV: Black Flag,Xbox 360,2013-10-29,"The year is 1715. Pirates rule the waters of the Caribbean and have established a lawless Republic. Among these outlaws is a lethal young captain named Edward Kenway. His notorious exploits earn the respect of legends like Blackbeard, but draw him into an ancient war that may destroy everything the pirates have built for themselves.",86,8.0
196,Assassin's Creed IV: Black Flag,PC,2013-11-19,"The year is 1715. Pirates rule the waters of the Caribbean and have established a lawless Republic. Among these outlaws is a lethal young captain named Edward Kenway. His notorious exploits earn the respect of legends like Blackbeard, but draw him into an ancient war that may destroy everything the pirates have built for themselves.",84,7.9
197,Assassin's Creed IV: Black Flag,PlayStation 4,2013-11-12,"The year is 1715. Pirates rule the waters of the Caribbean and have established a lawless Republic. Among these outlaws is a lethal young captain named Edward Kenway. His notorious exploits earn the respect of legends like Blackbeard, but draw him into an ancient war that may destroy everything the pirates have built for themselves.",83,7.9
198,Call of Duty: Black Ops II - Apocalypse,Xbox 360,2013-08-27,"Apocalypse is Treyarch's grand finale to Call of Duty: Black Ops II, with two all-new multiplayer maps, two fully reimagined fan-favorite multiplayer maps from past games, and Origins, an epic Zombie experience.",70,5.7
199,FATED: The Silent Oath,PlayStation 4,2017-03-28,FATED is an virtual reality action-adventure experience set in the Norse lands during Ragnarök.,64,5.3
