,Title,platform,release_date,summary,meta_score,user_review
530,Racquet Sports,Xbox,2010-09-14,"Racquet Sports engages players in 30 rich graphical environments in iconic locations inspired by real-world landmarks, including the beach of Copacabana, the foot of Mount Fuji and the skyline of Dubai. The playing fields come to life with animated backgrounds, dynamic sound mixes and day and night environments. Players have the option to perform with eleven different athletes, each having a distinct personality and flair. Each athlete is customizable with a total of over 30 outfits, 30 hairstyles and 15 different racquets available in the game.",45,4.3
531,Batman: The Telltale Series - Episode 4: Guardian of Gotham,Xbox One,2016-11-22,"Enter the fractured psyche of Bruce Wayne and discover the powerful and far-reaching consequences of your choices as the Dark Knight. The fate of Bruce Wayne, his dark persona, Batman, and Gotham hang in the balance.",75,5.4
532,Batman: The Telltale Series - Episode 4: Guardian of Gotham,PlayStation 4,2016-11-22,"Enter the fractured psyche of Bruce Wayne and discover the powerful and far-reaching consequences of your choices as the Dark Knight. The fate of Bruce Wayne, his dark persona, Batman, and Gotham hang in the balance.",73,6.2
533,Batman: The Telltale Series - Episode 4: Guardian of Gotham,PC,2016-11-22,"Enter the fractured psyche of Bruce Wayne and discover the powerful and far-reaching consequences of your choices as the Dark Knight. The fate of Bruce Wayne, his dark persona, Batman, and Gotham hang in the balance.",73,6.8
534,Disintegration,Xbox One,2020-06-16,"Dive into an action-drived first-person shooter, set in near-future sci-fi universe created by V1 Interactive, a newly-assembled studio of industry veterans. Journey into a vision of tomorrow where humankind is on the brink of extinction and has turned to technology in the hope of survival. Using a process known as Integration, human minds are surgically implanted into robotic armatures creating a new form of sentient life. As a domineering enemy superpower known as the Rayonne emerges, take on the role of Romer Shoal, an expert Gravcycle pilot. Astride your heavily-modified craft (fitted with an armoured chassis and a powerful array of weapons), lead a small resistance force in the fight to save what remains of humanity.",67,6.0
535,Disintegration,PC,2020-06-15,"Dive into an action-drived first-person shooter, set in near-future sci-fi universe created by V1 Interactive, a newly-assembled studio of industry veterans. Journey into a vision of tomorrow where humankind is on the brink of extinction and has turned to technology in the hope of survival. Using a process known as Integration, human minds are surgically implanted into robotic armatures creating a new form of sentient life. As a domineering enemy superpower known as the Rayonne emerges, take on the role of Romer Shoal, an expert Gravcycle pilot. Astride your heavily-modified craft (fitted with an armoured chassis and a powerful array of weapons), lead a small resistance force in the fight to save what remains of humanity.",62,5.9
536,Disintegration,PlayStation 4,2020-06-16,"Dive into an action-drived first-person shooter, set in near-future sci-fi universe created by V1 Interactive, a newly-assembled studio of industry veterans. Journey into a vision of tomorrow where humankind is on the brink of extinction and has turned to technology in the hope of survival. Using a process known as Integration, human minds are surgically implanted into robotic armatures creating a new form of sentient life. As a domineering enemy superpower known as the Rayonne emerges, take on the role of Romer Shoal, an expert Gravcycle pilot. Astride your heavily-modified craft (fitted with an armoured chassis and a powerful array of weapons), lead a small resistance force in the fight to save what remains of humanity.",60,4.7
537,Massive Chalice,PC,2015-06-01,"Massive Chalice is a single player turn-based tactics game within a multi-generational strategy campaign where you must unite your kingdom under a powerful dynasty as an immortal King or Queen to eliminate the demonic threat, and reforge the Massive Chalice.",73,6.0
538,Massive Chalice,Xbox One,2015-06-01,"MASSIVE CHALICE is a tactical strategy game set on an epic timeline from Double Fine Productions. As the Immortal Ruler of the Nation, you'll take command of its heroes, forge marriages to strengthen your Bloodlines, and battle a mysterious enemy known as the Cadence in a war lasting hundreds of years.",72,6.8
539,Pac-Man Collection,Game Boy Advance,2001-07-12,"From 2D to 3D, Pac-Man has been through it all. Now, you can relive four of his greatest adventures in Pac-Man Collection, which includes the original Pac-Man, the fast Pac-Attack, and the challenging Pac-Mania. A special Pac-Man Arrangement mode offers more power-ups and items for you--and the ghosts--to use. Over the years, the pellet-mucher has learned how to dodge, eat, and jump over ghosts, but the chase continues.",79,7.4
540,Catan,Xbox 360,2007-05-02,"[Xbox Live Arcade] Catan, based on the best-selling board game ""Settlers of Catan,"" places you in the role of a colonist on a newly discovered imaginary island. Through strategy and trading, vie for control with other players over the territory and resources of this uncharted wilderness. Compete online with your friends from around the world, or go up against a computer personality. Features include an all-new 3-D ""Living World"" environment and robust computer gameplay to challenge all skill levels—even the experts. Difficulty levels: Play against historical personalities including Alexander, Cleopatra, and Tokugawa—a challenge to all skill levels, even experts! Also included is a ""Learn As You Play"" tutorial. House rules: Use popular house rules including Friendly Robber and Friendly Resources. Dice roll options: Choose from Randomized, Dice Deck with re-shuffling options. Multiplayer interaction: Taunt your opponents with engaging animations and emotes. Online support: Engane in multiplayer on Xbox LIVE (1-4 players, limited to one player per console) with Voice Chat enabled. [Microsoft]",81,7.8
541,Catan,Switch,2019-06-20,"Trade, Build, Settle on Nintendo Switch. Discover or re-discover all the fun of the strategic & social gameplay of the million-seller board game!. The island of CATAN ™ is an uninhabited land rich in resources for you to settle. Unfortunately, your opponents have the same plans. Build settlements, roads and cities strategically to gain supremacy on CATAN! Some resources you have in abundance, other resources are scarce. Trade resources wisely & skillfully to stack the odds in your favor and become the greatest settler of CATAN. [Nintendo]",61,2.0
542,Layers of Fear 2,Switch,2021-05-20,"What part will you play? Layers of Fear 2 is a first-person psychological horror game with an emphasis on exploration and story. Players control a Hollywood actor who heeds the call of an enigmatic director to take on the lead role in a film shot aboard an ocean liner. Explore the world around you. Discover your past, and expose the reason for your having been cast for this film.",72,tbd
543,Layers of Fear 2,PC,2019-05-28,"Layers of Fear 2 is a first-person psychological horror game with an emphasis on exploration and story. Players control a Hollywood actor who heeds the call of an enigmatic director to take on the lead role in a film shot aboard an ocean liner. Beware, for all may not truly be what it seems.",70,6.3
